category_tidy,county_l1,town_tidy,"Approach Roads, Streets & Lanes",Community – Your Planning and Involvement,Green Spaces and Landscaping,Nature and Biodiversity in your Locality,Residential Streets & Housing Areas,Streetscape & Public Places,Sustainability – Doing more with less,Tidiness and Litter Control,category_dummy_Large Urban Centre,category_dummy_Small Town,category_dummy_Village,2019.0,pred_linreg,pred_lasso,pred_ridge,pred_elasticnet,pred_treereg,pred_randforest,pred_bagging,pred_adaboost,pred_gradboost,pred_gradboost_dft
Small Town,Galway,Clifden,0.54,0.8,0.76,0.8,0.6,0.84,0.5,0.6444444444444445,0,1,0,0.6680851063829787,0.67,0.67,0.67,0.63,0.67,0.66,0.66,0.65,0.67,0.67
Village,Cork,Courtmacsherry,0.8,0.6166666666666667,0.86,0.68,0.7,0.84,0.28,0.6666666666666666,0,0,1,0.6680851063829787,0.66,0.66,0.66,0.62,0.67,0.66,0.67,0.65,0.66,0.66
Village,Westmeath,Streamstown,0.72,0.8333333333333334,0.82,0.66,0.56,0.76,0.36,0.6444444444444445,0,0,1,0.6659574468085107,0.66,0.66,0.66,0.62,0.66,0.67,0.67,0.67,0.67,0.67
Village,Longford,Clondra,0.62,0.7333333333333333,0.88,0.64,0.68,0.84,0.38,0.7,0,0,1,0.6659574468085107,0.67,0.67,0.67,0.62,0.68,0.67,0.67,0.67,0.67,0.67
Small Town,Clare,Clarecastle,0.62,0.7,0.84,0.76,0.7,0.8,0.36,0.6,0,1,0,0.6659574468085107,0.65,0.65,0.65,0.63,0.66,0.66,0.66,0.65,0.65,0.65
Small Town,Kildare,Kilcullen,0.7,0.8333333333333334,0.92,0.7,0.62,0.78,0.36,0.5666666666666667,0,1,0,0.6659574468085107,0.66,0.67,0.66,0.63,0.66,0.67,0.67,0.68,0.67,0.67
Village,Roscommon,Ballyfarnon,0.72,0.7,0.84,0.66,0.58,0.84,0.44,0.7,0,0,1,0.6659574468085107,0.67,0.67,0.67,0.62,0.66,0.67,0.67,0.67,0.67,0.67
Village,Leitrim,Drumsna,0.72,0.7333333333333333,0.92,0.66,0.62,0.84,0.4,0.6444444444444445,0,0,1,0.6659574468085107,0.67,0.67,0.67,0.62,0.66,0.67,0.67,0.68,0.68,0.68
Village,Kildare,Calverstown,0.76,0.7666666666666667,0.86,0.46,0.76,0.84,0.3,0.7111111111111111,0,0,1,0.6659574468085107,0.67,0.67,0.67,0.62,0.67,0.67,0.67,0.66,0.67,0.67
Village,Tipperary,Cloneen,0.7,0.8666666666666667,0.84,0.62,0.62,0.8,0.3,0.7222222222222222,0,0,1,0.6659574468085107,0.68,0.68,0.68,0.62,0.68,0.67,0.67,0.67,0.67,0.67
Village,Mayo,Belcarra,0.7,0.7833333333333333,0.86,0.7,0.66,0.82,0.28,0.6444444444444445,0,0,1,0.6659574468085107,0.67,0.67,0.67,0.62,0.68,0.67,0.67,0.66,0.67,0.67
Village,Monaghan,Inniskeen,0.76,0.6,0.86,0.76,0.7,0.8,0.32,0.6777777777777778,0,0,1,0.6659574468085107,0.67,0.67,0.67,0.62,0.67,0.66,0.67,0.65,0.66,0.66
Small Town,Leitrim,Dromahair,0.7,0.8166666666666667,0.86,0.56,0.66,0.84,0.38,0.6555555555555556,0,1,0,0.6659574468085107,0.67,0.67,0.67,0.63,0.67,0.67,0.66,0.66,0.67,0.67
Large Urban Centre,Limerick,Limerick City Centre,0.74,0.7333333333333333,0.8,0.72,0.52,0.82,0.48,0.6444444444444445,1,0,0,0.6638297872340425,0.67,0.67,0.67,0.63,0.66,0.67,0.67,0.66,0.66,0.66
Small Town,Kerry,Ballybunion,0.66,0.75,0.82,0.64,0.62,0.88,0.42,0.6666666666666666,0,1,0,0.6638297872340425,0.67,0.67,0.67,0.63,0.66,0.66,0.66,0.66,0.66,0.66
Small Town,Donegal,Donegal,0.9,0.6,0.8,0.52,0.66,0.86,0.32,0.6777777777777778,0,1,0,0.6638297872340425,0.65,0.65,0.65,0.63,0.67,0.65,0.65,0.64,0.65,0.65
Village,Wicklow,Kiltegan,0.86,0.6666666666666666,0.78,0.42,0.74,0.8,0.3,0.7333333333333333,0,0,1,0.6638297872340425,0.65,0.65,0.65,0.62,0.66,0.66,0.66,0.64,0.66,0.66
Small Town,Donegal,Dungloe,0.64,0.7666666666666667,0.74,0.74,0.68,0.88,0.36,0.5666666666666667,0,1,0,0.6638297872340425,0.65,0.65,0.65,0.63,0.66,0.65,0.65,0.64,0.65,0.65
Village,Kerry,Currow,0.74,0.7,0.78,0.62,0.66,0.72,0.36,0.7444444444444445,0,0,1,0.6638297872340425,0.66,0.66,0.66,0.62,0.66,0.65,0.65,0.65,0.66,0.66
Village,Roscommon,Ballyleague,0.66,0.6833333333333333,0.84,0.66,0.68,0.84,0.48,0.6444444444444445,0,0,1,0.6638297872340425,0.67,0.67,0.67,0.62,0.65,0.66,0.66,0.66,0.66,0.66
Village,Limerick,Glin,0.66,0.7333333333333333,0.84,0.76,0.64,0.88,0.34,0.6222222222222222,0,0,1,0.6638297872340425,0.67,0.67,0.67,0.62,0.65,0.66,0.66,0.65,0.66,0.66
